gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,128,6144,512,ck,8,0,4.7085,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,171.03,1016.06,0.0
gfx950,256,128,6144,2304,ck,18,0,10.7299,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,337.74,1493.36,0.0
gfx950,256,128,6144,4096,ck,18,0,16.642,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,387.12,1638.2,0.0
gfx950,256,128,6144,4608,ck,18,0,18.3054,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,395.94,1664.77,0.0
gfx950,256,128,9216,6144,ck,2,0,38.3309,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,378.17,1559.29,0.0
gfx950,256,192,512,6144,ck,8,3,11.6884,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,103.35,386.88,0.0003
gfx950,256,192,576,6144,ck,8,3,12.3201,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,110.3,400.95,0.0004
gfx950,256,192,1024,6144,ck,8,3,15.0898,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,160.1,521.17,0.0003
gfx950,256,192,3584,512,ck,8,0,5.0211,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,140.34,659.13,0.0
gfx950,256,192,4096,2048,ck,18,0,9.8191,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,328.06,1054.55,0.0
gfx950,256,192,4608,6144,ck,18,0,23.2137,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,468.33,1346.65,0.0
gfx950,256,192,6144,256,cktile,0,0,4.0179,a8w8_blockscale_cktile_16x128x256_1x4x1_16x16x128_intrawave_0x1x0_1,150.32,990.89,0.0
