M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle
1402,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1410,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1416,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1420,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1434,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1436,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1444,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1449,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1460,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1464,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1468,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1479,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1484,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1488,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1498,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1507,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1508,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1522,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1525,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1528,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1532,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1534,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1536,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1541,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1544,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1546,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1547,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1549,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1553,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1556,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1557,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1558,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1562,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1564,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1568,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1574,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1581,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1582,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1584,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1589,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1599,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1600,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1601,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1610,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1613,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1630,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1641,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1642,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1644,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1648,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1649,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1650,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
1654,2048,6144,False,torch.bfloat16,torch.bfloat16,False,False
